run_id,timestamp,dataset,num_questions,corpus_size,avg_em,avg_f1,avg_rouge_l,avg_bleu,avg_confidence,avg_latency_s,memory_path_rate,retrieval_path_rate,final_memory_size
pilot_20260424_191122,2026-04-24_19-11-53,TriviaQA rc.wikipedia,8,900,0.0,0.012529254125892782,0.015998955397319884,0.0010859743011952215,0.1594574353657663,0.18250209093093872,0.0,1.0,8
smoke_20260424_190943,2026-04-24_19-11-22,TriviaQA rc.wikipedia,5,500,0.0,0.00816326530612245,0.007476635514018691,0.0009047673741014326,0.14380439817905427,0.16221747398376465,0.0,1.0,5
